,text_a,text_b,scores
0,How can I change my Huawei account and password? My phone is disabled and my password is forgotten.,How can I submit a self-service complaint using my Huawei ID?,5
1,Can I pay online if I have not downloaded Huawei Pay?,Use the bank card in Huawei Pay for online payment (not applicable to NFC/Huawei Pay models).,5
2,"I'm Nova 3e. No, there's no key service.",Number of keys and models that can be added,5
3,Bank cards are not supported.,Failed to Add a Bank Card,5
4,"Every time I turn on my phone, the Huawei Pay switches on and off, which is inconvenient.",The Huawei Pay card swiping page is automatically displayed.,5
5,How do I add a bus card to the NFC of the P10?,Add a transportation card to the Huawei Pay.,5
6,What can I do if the system displays a message indicating that the order cannot be found when the payment fails?,What can I do if the system displays a message indicating that the order cannot be found when the payment fails?,5
7,"The account and password are forgotten, and the mobile phone number is lost.",How can I submit a self-service complaint using my Huawei ID?,5
8,The NFC brushes the bus to buckle twice.,Repeated Fee Deduction for Huawei Pay Traffic Card Swiping,5
9,Usage/Application Scope of Tianjin City Card,Application scenario of the transportation card: application scope of the transportation joint card in each city,5
10,I don't have a key to the door on my phone.,Number of keys and models that can be added,5
11,Charge by bus card,Method of Recharging a Transportation Card,5
12,There's no key option in the bag.,Number of keys and models that can be added,5
13,How to authenticate eID?,Using eID Offline Authentication,5
14,What Do I Do If My Wallet Exits Unexpectedly or a Message Indicating Inconsistent Signatures Is Displayed After I Update My Wallet?,Why does my phone crash or display a message indicating that the signature is inconsistent after I update my wallet?,5
15,Failed to swipe the bus card.,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
16,No access card option,Number of keys and models that can be added,5
17,My card doesn't show.,What can I do if I cannot see the entrance for adding Huawei Pay traffic cards?,5
18,Deleting an Access Card,Viewing/Deleting a Door Key,5
19,What if it keeps popping up?,The Huawei Pay card swiping page is automatically displayed.,5
20,What can I do if my bank card cannot be removed?,What can I do if my bank card cannot be removed?,5
21,The Beijing municipal transportation all-in-one card cannot be enabled in the Huawei Pay.,The Beijing municipal transportation all-in-one card cannot be enabled in the Huawei Pay.,5
22,Why doesn't the card bag have a bus card?,Models that support transportation cards and the number of supported cards,5
23,I forgot the password of my new phone and my phone number is changed. What should I do?,How can I submit a self-service complaint using my Huawei ID?,5
24,How do I pay for JD.com?,Huawei Pay is not displayed on the third-party app payment screen.,5
25,Those phones can open with NFC.,Number of keys and models that can be added,5
26,Cancel Alipay,Unbind payment code (Alipay),5
27,"Alipay and the wallet to cancel the agreement, how to open?",How do I enable Alipay payment code?,5
28,Where can I swipe my bank card without NFC?,Consumption scenarios that can be used after a bank card is added (NFC/Huawei Pay models are not supported),5
29,Can the ID card in the card bag take the high - speed railway?,Which of the following scenarios can eID be used in?,5
30,How can I return a transportation card if my old phone is lost and my new phone does not have NFC?,"How do I delete my bank card, transportation card, eID, or door key if I have lost my phone or my phone is not repaired, sold, or replaced by a Huawei Customer Service Center?",5
31,My phone can't help the bus card.,Models that support transportation cards and the number of supported cards,5
32,Transportation card,Huawei Pay Transportation Card Introduction and Usage Guide,5
33,Which phones can use UnionPay payment codes?,Which phones support UnionPay payment codes?,5
34,What is quick pay?,"What's ""Quick Payers""?",5
35,How do I bind an ID card?,Method of Enabling the eID Service,5
36,Automatically display Huawei Pay,The Huawei Pay card swiping page is automatically displayed.,5
37,Why can't I find the entrance to the transportation card?,What can I do if I cannot see the entrance for adding Huawei Pay traffic cards?,5
38,I can't log in to the system using my account.,What can I do if I can't log in with my Huawei ID?,5
39,What should I do if I forget my password when I power on my P9?,Forgot your Huawei ID password,5
40,I forgot my Huawei account and password. I can't start my phone now.,Forgot your Huawei ID password,5
41,The POS machine cannot be swiped.,How to use Huawei Pay bank card to make payment on POS machine,5
42,How do I use my wallet after changing my phone? How do I change my bus card?,Can I change my mobile phone to another one?,5
43,"I used QQ to log in to my Huawei ID in the early morning of yesterday, and then I forgot my phone number and password when I logged out.",How can I submit a self-service complaint using my Huawei ID?,5
44,What can I do if the payment fails after successful deduction?,What can I do if the system displays a message indicating that the payment fails after the bank deducts the fee successfully?,5
45,Does the bus card have a network to use?,Do I need to connect to the Internet or open the Huawei Pay app when swiping a transportation card?,5
46,Does my Pay phone work?,Models that support Huawei Pay bank cards and the number of supported cards,5
47,Procedure for Canceling the eID,Deleting an eID,5
48,Why is the wallet not displayed in the payment mode?,Huawei Pay is not displayed on the third-party app payment screen.,5
49,Why can't I change my payment password if I forget my password?,Method of retrieving the payment password,5
50,The transportation card cannot be recharged.,How to Handle the Failure to Recharge the Transportation Card,5
51,Invoice for joint card recharge,Recharge invoice for obtaining the Huawei Pay transportation card: transportation joint card of each city,5
52,The complaint is not passed. I am using my account. I forget the password and cannot log out.,How can I submit a self-service complaint using my Huawei ID?,5
53,How to use the bound bank card to swipe the POS machine?,How to use Huawei Pay bank card to make payment on POS machine,5
54,How do I close the wallet and open it automatically?,The Huawei Pay card swiping page is automatically displayed.,5
55,How do I set the door key?,Adding a Door Key,5
56,Cancel the monthly fee of 12 yuan.,How Do I Disable the Auto-Renew Service?,5
57,Can the Vanke access controller be added to the Huawei Pay?,Number of keys and models that can be added,5
58,H-coin card recharge process,How do I recharge my account with a H-coin card?,5
59,Huawei payment password reset,Method of retrieving the payment password,5
60,How do I unlock my phone? The payment page is automatically displayed.,What is the relationship between the screen unlock fingerprint and the quick payment fingerprint?,5
61,Huawei Pay The transportation card cannot be found in the account.,Huawei Pay The transportation card cannot be found in the account.,5
62,How to use a bank card as a transportation card?,Method of Using Bank Card to Swipe Bus and Metro,5
63,I need to borrow money. What does tip 0106 mean?,"Use the method of ""borrowing money""",5
64,What is a Huawei Pay bank card?,What is an Huawei Pay bank card?,5
65,"What if I forget my wallet, payment password, and security question?",Method of retrieving the payment password,5
66,I can't swipe the subway on my transit card.,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
67,Why can't I use Huawei Pay to pay for Suning.com online?,Huawei Pay is not displayed on the third-party app payment screen.,5
68,Why can't I access the password retrieval page?,Forgot your Huawei ID password,5
69,What kind of card sucks?,Which Transportation Cards Support Vacuum Cards?,5
70,Where can I find the H-coin card recharge process?,How do I recharge my account with a H-coin card?,5
71,How do I add a traffic card?,Add a transportation card to the Huawei Pay.,5
72,Using eID Offline Authentication,Using eID Offline Authentication,5
73,What can I do if I forget the password of Cloud Album?,Forgot your Huawei ID password,5
74,Can the new phone transfer the traffic card from the old phone to the new one?,Can I change my mobile phone to another one?,5
75,How to perform automatic fee deduction on the Huawei Pay?,How Do I Disable the Auto-Renew Service?,5
76,Huawei Pay 9.0.3.300 does not have a transportation card.,What can I do if I cannot see the entrance for adding Huawei Pay traffic cards?,5
77,Failed to add the door key function.,Number of keys and models that can be added,5
78,How to Refund for Wuhan Tong,Refund the balance of the deleted transportation card in the Huawei Pay.,5
79,"I have a bank card, I have a bus and subway charge, but I haven't been in one.","I didn't swipe my card, but I got a debit notice.",5
80,When will the Beijing all-in-one card be upgraded to a Beijing-Tianjin-Hebei interconnection card?,Beijing municipal transportation all-in-one card upgraded to Beijing-Tianjin-Hebei interconnection card,5
81,The electronic certificate cannot be recognized when being added.,What Can I Do If the Cannot Be Identified or the Certificate Information Is Incorrect?,5
82,Why does the interface always pop up?,The Huawei Pay card swiping page is automatically displayed.,5
83,What are the requirements for enabling the eID service?,Method of Enabling the eID Service,5
84,The Suning.com does not provide the Pay operation.,Huawei Pay is not displayed on the third-party app payment screen.,5
85,Is the transportation card available in all places?,Which cities does the transportation card support?,5
86,My Huawei ID is not mine. I want to apply for my Huawei ID. How can I use it?,What can I do if I can't log in with my Huawei ID?,5
87,Unbind payment code (Alipay),Unbind payment code (Alipay),5
88,Can I use Cloud Flash payment on my phone?,Does my phone or wearable device support bank cards (cloud flash payment) or transportation cards?,5
89,Why can't I swipe my transportation card?,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
90,It's not over. Anybody?,salutes,5
91,Why does Dalian fail to pay off the subway?,How to Deal with the Failure of Using Bank Card to Swipe Bus and Subway,5
92,I don't want to use UnionPay's payment code.,Disable the Huawei Pay UnionPay payment code.,5
93,Why can't I bind a bank card to my Huawei Enjoy 7S?,Failed to Add a Bank Card,5
94,Hello! Why can't I add a transportation card to my Huawei Pay?,What can I do if I cannot see the entrance for adding Huawei Pay traffic cards?,5
95,What's the charge?,Unreasonable deduction from Huawei Pay,5
96,Unbind Real Name,Method of Deregistering Real-Name Authentication (Non-Authentication) on Huawei Pay,5
97,Why doesn't my phone have an access card?,Number of keys and models that can be added,5
98,How to borrow money?,"Use the method of ""borrowing money""",5
99,Is there a limit on the number of participation times?,Maximum number of times that a subscriber can enjoy the preference for top-up.,5
100,Failed to add the bank card for many times.,Failed to Add a Bank Card,5
101,Maximum number of cards that can be added to Huawei Pay.,Models that support Huawei Pay bank cards and the number of supported cards,5
102,There's no key in the Huawei Pay.,Number of keys and models that can be added,5
103,Where's the money deducted from the Huawei Pay?,Unreasonable deduction from Huawei Pay,5
104,The function of disabling automatic fee deduction in the Huawei Pay cannot be found.,How Do I Disable the Auto-Renew Service?,5
