id,advisor_id,date,start_time,end_time,status
1,1,2024-10-01,09:00,09:30,open
2,1,2024-10-01,10:00,10:30,booked
3,1,2024-10-01,11:00,11:30,open
4,1,2024-10-01,14:00,14:30,booked
5,1,2024-10-01,15:00,15:30,booked
6,1,2024-10-02,09:00,09:30,booked
7,1,2024-10-02,10:00,10:30,open
8,1,2024-10-02,11:00,11:30,open
9,1,2024-10-02,14:00,14:30,booked
10,1,2024-10-02,15:00,15:30,booked
11,1,2024-10-03,09:00,09:30,open
12,1,2024-10-03,10:00,10:30,booked
13,1,2024-10-03,11:00,11:30,open
14,1,2024-10-03,14:00,14:30,booked
15,1,2024-10-03,15:00,15:30,booked
16,1,2024-10-04,09:00,09:30,booked
17,1,2024-10-04,10:00,10:30,open
18,1,2024-10-04,11:00,11:30,booked
19,1,2024-10-04,14:00,14:30,open
20,1,2024-10-04,15:00,15:30,booked
21,1,2024-10-05,09:00,09:30,booked
22,1,2024-10-05,10:00,10:30,open
23,1,2024-10-05,11:00,11:30,booked
24,1,2024-10-05,14:00,14:30,booked
25,1,2024-10-05,15:00,15:30,open
26,1,2024-10-06,09:00,09:30,open
27,1,2024-10-06,10:00,10:30,booked
28,1,2024-10-06,11:00,11:30,booked
29,1,2024-10-06,14:00,14:30,open
30,1,2024-10-06,15:00,15:30,booked
31,1,2024-10-07,09:00,09:30,booked
32,1,2024-10-07,10:00,10:30,open
33,1,2024-10-07,11:00,11:30,open
34,1,2024-10-07,14:00,14:30,booked
35,1,2024-10-07,15:00,15:30,booked
36,2,2024-10-01,09:00,09:30,open
37,2,2024-10-01,10:00,10:30,booked
38,2,2024-10-01,11:00,11:30,open
39,2,2024-10-01,14:00,14:30,booked
40,2,2024-10-01,15:00,15:30,booked
41,2,2024-10-02,09:00,09:30,booked
42,2,2024-10-02,10:00,10:30,open
43,2,2024-10-02,11:00,11:30,open
44,2,2024-10-02,14:00,14:30,booked
45,2,2024-10-02,15:00,15:30,booked
46,2,2024-10-03,09:00,09:30,open
47,2,2024-10-03,10:00,10:30,booked
48,2,2024-10-03,11:00,11:30,open
49,2,2024-10-03,14:00,14:30,booked
50,2,2024-10-03,15:00,15:30,booked
51,2,2024-10-04,09:00,09:30,booked
52,2,2024-10-04,10:00,10:30,open
53,2,2024-10-04,11:00,11:30,booked
54,2,2024-10-04,14:00,14:30,open
55,2,2024-10-04,15:00,15:30,booked
56,2,2024-10-05,09:00,09:30,booked
57,2,2024-10-05,10:00,10:30,open
58,2,2024-10-05,11:00,11:30,booked
59,2,2024-10-05,14:00,14:30,booked
60,2,2024-10-05,15:00,15:30,open
61,2,2024-10-06,09:00,09:30,open
62,2,2024-10-06,10:00,10:30,booked
63,2,2024-10-06,11:00,11:30,booked
64,2,2024-10-06,14:00,14:30,open
65,2,2024-10-06,15:00,15:30,booked
66,2,2024-10-07,09:00,09:30,booked
67,2,2024-10-07,10:00,10:30,open
68,2,2024-10-07,11:00,11:30,open
69,2,2024-10-07,14:00,14:30,booked
70,2,2024-10-07,15:00,15:30,booked
71,3,2024-10-01,09:00,09:30,open
72,3,2024-10-01,10:00,10:30,booked
73,3,2024-10-01,11:00,11:30,open
74,3,2024-10-01,14:00,14:30,booked
75,3,2024-10-01,15:00,15:30,booked
76,3,2024-10-02,09:00,09:30,booked
77,3,2024-10-02,10:00,10:30,open
78,3,2024-10-02,11:00,11:30,open
79,3,2024-10-02,14:00,14:30,booked
80,3,2024-10-02,15:00,15:30,booked
81,3,2024-10-03,09:00,09:30,booked
82,3,2024-10-03,10:00,10:30,booked
83,3,2024-10-03,11:00,11:30,open
84,3,2024-10-03,14:00,14:30,open
85,3,2024-10-03,15:00,15:30,booked
86,3,2024-10-04,09:00,09:30,open
87,3,2024-10-04,10:00,10:30,booked
88,3,2024-10-04,11:00,11:30,booked
89,3,2024-10-04,14:00,14:30,open
90,3,2024-10-04,15:00,15:30,booked
91,3,2024-10-05,09:00,09:30,booked
92,3,2024-10-05,10:00,10:30,open
93,3,2024-10-05,11:00,11:30,booked
94,3,2024-10-05,14:00,14:30,booked
95,3,2024-10-05,15:00,15:30,open
96,3,2024-10-06,09:00,09:30,open
97,3,2024-10-06,10:00,10:30,booked
98,3,2024-10-06,11:00,11:30,booked
99,3,2024-10-06,14:00,14:30,open
100,3,2024-10-06,15:00,15:30,booked
101,3,2024-10-07,09:00,09:30,booked
102,3,2024-10-07,10:00,10:30,open
103,3,2024-10-07,11:00,11:30,open
104,3,2024-10-07,14:00,14:30,booked
105,3,2024-10-07,15:00,15:30,booked
106,4,2024-10-01,09:00,09:30,open
107,4,2024-10-01,10:00,10:30,booked
108,4,2024-10-01,11:00,11:30,open
109,4,2024-10-01,14:00,14:30,booked
110,4,2024-10-01,15:00,15:30,booked
111,4,2024-10-02,09:00,09:30,booked
112,4,2024-10-02,10:00,10:30,open
113,4,2024-10-02,11:00,11:30,open
114,4,2024-10-02,14:00,14:30,booked
115,4,2024-10-02,15:00,15:30,booked
116,4,2024-10-03,09:00,09:30,open
117,4,2024-10-03,10:00,10:30,booked
118,4,2024-10-03,11:00,11:30,open
119,4,2024-10-03,14:00,14:30,booked
120,4,2024-10-03,15:00,15:30,booked
121,4,2024-10-04,09:00,09:30,booked
122,4,2024-10-04,10:00,10:30,open
123,4,2024-10-04,11:00,11:30,booked
124,4,2024-10-04,14:00,14:30,booked
125,4,2024-10-04,15:00,15:30,open
126,4,2024-10-05,09:00,09:30,open
127,4,2024-10-05,10:00,10:30,booked
128,4,2024-10-05,11:00,11:30,booked
129,4,2024-10-05,14:00,14:30,booked
130,4,2024-10-05,15:00,15:30,open
131,4,2024-10-06,09:00,09:30,open
132,4,2024-10-06,10:00,10:30,open
133,4,2024-10-06,11:00,11:30,booked
134,4,2024-10-06,14:00,14:30,booked
135,4,2024-10-06,15:00,15:30,open
136,4,2024-10-07,09:00,09:30,open
137,4,2024-10-07,10:00,10:30,open
138,4,2024-10-07,11:00,11:30,booked
139,4,2024-10-07,14:00,14:30,open
140,4,2024-10-07,15:00,15:30,booked
141,5,2024-10-01,09:00,09:30,open
142,5,2024-10-01,10:00,10:30,booked
143,5,2024-10-01,11:00,11:30,open
144,5,2024-10-01,14:00,14:30,booked
145,5,2024-10-01,15:00,15:30,booked
146,5,2024-10-02,09:00,09:30,booked
147,5,2024-10-02,10:00,10:30,open
148,5,2024-10-02,11:00,11:30,open
149,5,2024-10-02,14:00,14:30,booked
150,5,2024-10-02,15:00,15:30,booked
151,5,2024-10-03,09:00,09:30,open
152,5,2024-10-03,10:00,10:30,booked
153,5,2024-10-03,11:00,11:30,open
154,5,2024-10-03,14:00,14:30,booked
155,5,2024-10-03,15:00,15:30,booked
156,5,2024-10-04,09:00,09:30,booked
157,5,2024-10-04,10:00,10:30,open
158,5,2024-10-04,11:00,11:30,booked
159,5,2024-10-04,14:00,14:30,booked
160,5,2024-10-04,15:00,15:30,open
161,5,2024-10-05,09:00,09:30,open
162,5,2024-10-05,10:00,10:30,booked
163,5,2024-10-05,11:00,11:30,booked
164,5,2024-10-05,14:00,14:30,booked
165,5,2024-10-05,15:00,15:30,open
166,5,2024-10-06,09:00,09:30,open
167,5,2024-10-06,10:00,10:30,open
168,5,2024-10-06,11:00,11:30,booked
169,5,2024-10-06,14:00,14:30,booked
170,5,2024-10-06,15:00,15:30,open
171,5,2024-10-07,09:00,09:30,open
172,5,2024-10-07,10:00,10:30,open
173,5,2024-10-07,11:00,11:30,booked
174,5,2024-10-07,14:00,14:30,open
175,5,2024-10-07,15:00,15:30,booked
176,6,2024-10-01,09:00,09:30,open
177,6,2024-10-01,10:00,10:30,booked
178,6,2024-10-01,11:00,11:30,open
179,6,2024-10-01,14:00,14:30,booked
180,6,2024-10-01,15:00,15:30,booked
181,6,2024-10-02,09:00,09:30,booked
182,6,2024-10-02,10:00,10:30,open
183,6,2024-10-02,11:00,11:30,open
184,6,2024-10-02,14:00,14:30,booked
185,6,2024-10-02,15:00,15:30,booked
186,6,2024-10-03,09:00,09:30,open
187,6,2024-10-03,10:00,10:30,booked
188,6,2024-10-03,11:00,11:30,open
189,6,2024-10-03,14:00,14:30,booked
190,6,2024-10-03,15:00,15:30,booked
191,6,2024-10-04,09:00,09:30,booked
192,6,2024-10-04,10:00,10:30,open
193,6,2024-10-04,11:00,11:30,booked
194,6,2024-10-04,14:00,14:30,booked
195,6,2024-10-04,15:00,15:30,open
196,6,2024-10-05,09:00,09:30,open
197,6,2024-10-05,10:00,10:30,booked
198,6,2024-10-05,11:00,11:30,booked
199,6,2024-10-05,14:00,14:30,booked
200,6,2024-10-05,15:00,15:30,open
201,6,2024-10-06,09:00,09:30,open
202,6,2024-10-06,10:00,10:30,open
203,6,2024-10-06,11:00,11:30,booked
204,6,2024-10-06,14:00,14:30,booked
205,6,2024-10-06,15:00,15:30,open
